category,cnt
의류,357
화장품,212
식품,166
화장품/미용>스킨케어>로션,124
생활용품,94
잡화,89
건강기능식품,82
신발,66
옷,62
로션,51
화장품/미용>스킨케어,41
전자제품,40
도서,39
마스크,39
책,38
여성의류,35
패션잡화,31
인형,31
건강식품,30
기타,30
가공식품,30
화장품/미용,29
주방용품,27
가방,27
냉동식품,27
서적,27
악세사리,24
애견용품,24
문구,23
반려동물용품,21
전자기기,21
과자,20
화장품/미용>스킨케어>크림,19
생활잡화,19
서류,19
가구,17
완구,16
캠핑용품,15
굿즈,15
음식,14
문구류,14
생활/건강>건강관리용품>먼지차단마스크,13
미정,13
생활/건강,13
유아용품,13
음료,13
스포츠용품,13
패션,12
노트북,12
반려동물,12
휴대폰,12
인테리어소품,11
식품>건강기능식품,11
향수,11
기타용품,11
샴푸,10
의료기기,10
식품>가공식품,10
식품>건강식품,10
화장품/미용>스킨케어>앰플,10
남성의류,10
양말,9
사무용품,9
화장품/미용>헤어케어>샴푸,9
피규어,9
미용,9
화장품/미용>스킨케어>에센스,9
핸드폰,8
화장품/미용>향수,8
앨범,8
시계,8
가전,8
커피,8
애완용품,8
영양제,8
주류,7
속옷,7
약,7
자동차용품,7
건강기능식품>유산균,7
음반,7
가전제품,7
의류>여성의류,7
인테리어 소품,7
자동차부품,7
.,6
생활가전,6
인쇄물,6
장난감,6
간식,6
반려동물 용품,6
스킨케어,6
반려용품,6
교재,6
과일,6
스티커,6
화장품>스킨케어,6
골프용품,5
디지털/가전,5
식품>견과류,5
스킨,5
식품>침출차,5
건강보조식품,5
1,5
수건,5
김치,5
농산물,5
사탕,5
컴퓨터,5
컴퓨터 부품,5
이어폰,5
게임,5
패션의류,5
신선식품,5
종합몰,5
화장품>스킨케어>앰플,5
패션의류>여성의류,5
패션잡화>신발,5
조명,5
악세서리,5
인테리어,5
엽서,4
화장품/미용>스킨케어>마스크팩,4
텀블러,4
생활건강>건강관리용품>먼지차단마스크,4
화장품/미용>마스크팩,4
고기,4
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,4
의약품,4
비누,4
의류 및 잡화,4
캠핑,4
카드,4
디지털/가전>휴대폰액세서리>휴대폰케이스,4
식물,4
액상차,4
언더웨어,4
화장품/미용>스킨케어>선크림,4
운동용품,4
스포츠 용품,4
반려동물 간식,4
티켓,4
방향제,4
스포츠>헬스소품>폼롤러,4
